postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines) ,Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB) for lines < 10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Average data usage (GB),Median download speed (Mbit/s)__Score,Overall_Score
AB107AZ,AB10 7AZ,AB,0.3258575197889182,23.6,3.1,48.7,4.4,28.9,40.1,,6.9,4.9,0.8,8.5,0.9,6.9,8.0,,,8.0,7.0,5.0,5.0,,5.0,214.0,195.0,244.0,,222,0.6023157593602919,0.9279588058881068
AB107BB,AB10 7BB,AB,0.4182058047493404,31.3,1.2,65.4,4.2,28.6,41.0,,8.2,7.8,0.8,20.0,0.8,5.7,10.4,,,8.0,7.0,5.0,17.0,,17.0,142.0,412.0,687.0,,539,1.606175358294113,0.9279588058881068
AB107BD,AB10 7BD,AB,0.2862796833773087,22.6,2.5,49.4,3.6,23.0,36.1,,4.7,4.3,0.4,10.0,0.7,4.3,6.9,,,7.0,7.0,9.0,11.0,,11.0,258.0,390.0,644.0,,452,0.17209021696008298,0.9279588058881068
AB107BG,AB10 7BG,AB,0.2717678100263852,25.8,7.5,40.0,7.5,23.2,40.0,,5.3,5.4,1.0,10.0,1.0,4.2,10.0,,,7.0,7.0,4.0,11.0,,11.0,354.0,506.0,190.0,,349,0.014340851413339895,0.9279588058881068
AB107BH,AB10 7BH,AB,0.47229551451187335,30.1,1.2,66.2,5.0,11.6,47.8,,10.0,8.3,0.8,20.0,1.0,10.0,13.1,,,5.0,6.0,4.0,18.0,,18.0,220.0,38.0,476.0,,363,2.1941502662410652,0.9279588058881068
AB107BJ,AB10 7BJ,AB,0.27440633245382584,22.9,3.4,37.8,4.4,22.4,33.0,,5.3,4.5,0.6,8.4,0.8,5.0,5.7,,,5.0,6.0,13.0,8.0,,8.0,119.0,252.0,330.0,,255,0.04302255424002029,0.9279588058881068
AB107BL,AB10 7BL,AB,0.08575197889182057,34.3,3.1,80.0,7.1,10.7,65.3,,1.1,8.2,0.8,20.0,1.0,1.1,16.7,,,5.0,4.0,13.0,6.0,,6.0,65.0,124.0,253.0,,157,-2.007719197867642,0.9279588058881068
AB107BN,AB10 7BN,AB,0.05804749340369393,27.2,6.8,80.0,7.7,10.7,53.3,,1.1,6.2,0.5,20.0,0.9,1.1,13.3,,,5.0,4.0,13.0,6.0,,6.0,187.0,124.0,214.0,,199,-2.3088770775477885,0.9279588058881068
AB107BP,AB10 7BP,AB,0.47229551451187335,31.7,4.1,80.0,7.9,12.8,52.7,,9.8,7.6,0.4,20.0,0.9,1.1,13.9,,,5.0,11.0,6.0,19.0,,19.0,193.0,309.0,369.0,,300,2.1941502662410652,0.9279588058881068
AB107BQ,AB10 7BQ,AB,0.06596306068601582,18.2,5.7,40.0,7.6,24.1,38.2,,1.1,3.7,0.6,10.0,1.0,4.7,8.9,,,5.0,10.0,6.0,5.0,,5.0,335.0,793.0,254.0,,339,-2.2228319690677467,0.9279588058881068
AB107BS,AB10 7BS,AB,0.47229551451187335,38.5,6.1,71.1,6.9,24.1,52.6,,10.0,10.0,0.5,20.0,0.9,4.7,14.0,,,5.0,4.0,6.0,9.0,,9.0,108.0,793.0,539.0,,406,2.1941502662410652,0.9279588058881068
AB107BT,AB10 7BT,AB,0.47229551451187335,31.5,5.2,60.0,5.4,24.1,42.0,,10.0,8.8,0.8,20.0,0.8,4.7,12.0,,,5.0,4.0,6.0,5.0,,5.0,112.0,793.0,618.0,,534,2.1941502662410652,0.9279588058881068
AB107BU,AB10 7BU,AB,0.47229551451187335,36.4,8.1,77.5,8.6,24.1,47.5,,10.0,8.9,1.1,20.0,1.2,4.7,12.0,,,5.0,4.0,6.0,5.0,,5.0,689.0,793.0,465.0,,529,2.1941502662410652,0.9279588058881068
AB107BW,AB10 7BW,AB,0.43931398416886547,31.6,8.4,66.3,8.9,17.8,46.8,,5.0,7.0,0.6,20.0,1.1,4.7,10.2,,,5.0,4.0,5.0,9.0,,9.0,199.0,494.0,409.0,,397,1.8356289809075579,0.9279588058881068
AB107BX,AB10 7BX,AB,0.4591029023746702,26.6,0.4,53.4,5.8,18.0,42.0,,10.0,7.3,0.4,19.5,0.9,2.0,12.2,,,5.0,6.0,5.0,10.0,,10.0,370.0,67.0,652.0,,510,2.0507417521076623,0.9279588058881068
AB107BY,AB10 7BY,AB,0.24010554089709762,32.5,4.0,79.4,4.4,18.0,60.6,,5.4,8.7,0.6,20.0,0.7,2.0,16.7,,,5.0,6.0,5.0,10.0,,10.0,27.0,67.0,274.0,,151,-0.32983958250682727,0.9279588058881068
AB107BZ,AB10 7BZ,AB,0.05013192612137203,21.2,0.9,60.0,5.4,18.0,42.7,,1.2,5.6,0.6,18.4,1.2,2.0,11.6,,,5.0,10.0,5.0,12.0,,12.0,139.0,304.0,193.0,,167,-2.3949221860278302,0.9279588058881068
AB107DA,AB10 7DA,AB,0.34564643799472294,26.6,2.5,56.8,7.6,16.2,43.6,,6.2,6.9,0.4,20.0,1.0,4.9,12.0,,,5.0,9.0,5.0,13.0,,13.0,268.0,41.0,252.0,,232,0.8174285305603964,0.9279588058881068
AB107DD,AB10 7DD,AB,0.3733509234828496,30.4,6.0,69.1,6.8,23.9,40.5,,4.5,6.3,1.0,20.0,1.1,4.3,8.8,,,5.0,9.0,5.0,6.0,,6.0,170.0,123.0,633.0,,438,1.1185864102405427,0.9279588058881068
AB107DE,AB10 7DE,AB,0.47229551451187335,31.4,6.1,79.3,7.9,28.1,44.7,,10.0,7.3,0.5,20.0,1.0,4.4,11.0,,,5.0,10.0,5.0,18.0,,18.0,267.0,938.0,652.0,,529,2.1941502662410652,0.9279588058881068
AB107DF,AB10 7DF,AB,0.46569920844327173,41.6,33.5,55.0,7.9,28.1,41.6,,10.0,9.2,4.1,11.7,1.0,4.4,9.2,,,5.0,10.0,5.0,5.0,,5.0,267.0,938.0,467.0,,467,2.122446009174363,0.9279588058881068
AB107DG,AB10 7DG,AB,0.06992084432717677,19.0,5.2,51.9,7.8,28.1,39.4,,1.1,3.5,0.6,14.0,0.9,4.4,8.2,,,5.0,11.0,5.0,6.0,,6.0,206.0,938.0,241.0,,218,-2.1798094148277256,0.9279588058881068
AB107DJ,AB10 7DJ,AB,0.16094986807387862,24.7,12.3,56.7,7.8,14.4,43.3,,1.3,4.8,1.0,16.4,0.9,1.2,11.3,,,5.0,11.0,9.0,5.0,,5.0,206.0,211.0,296.0,,237,-1.190290667307245,0.9279588058881068
AB107DL,AB10 7DL,AB,0.05672823218997361,15.0,0.7,37.6,6.1,26.7,34.1,,1.0,3.1,0.5,10.0,0.9,1.8,8.5,,,4.0,7.0,9.0,5.0,,5.0,125.0,15.0,1550.0,,514,-2.3232179289611286,0.9279588058881068
AB107DN,AB10 7DN,AB,0.47229551451187335,37.9,7.5,76.2,8.2,22.4,60.3,,10.0,10.3,1.0,20.0,1.1,8.9,16.7,,,4.0,4.0,9.0,6.0,,6.0,148.0,241.0,179.0,,173,2.1941502662410652,0.9279588058881068
AB107DP,AB10 7DP,AB,0.4182058047493404,32.1,4.5,74.0,6.8,20.4,50.9,,10.0,8.5,1.0,20.0,1.1,10.0,13.5,,,4.0,6.0,9.0,10.0,,10.0,223.0,178.0,461.0,,347,1.606175358294113,0.9279588058881068
AB107DQ,AB10 7DQ,AB,0.3073878627968338,27.6,3.1,59.9,6.5,20.4,48.1,,10.0,7.6,0.6,20.0,0.9,6.1,14.0,,,4.0,8.0,9.0,10.0,,10.0,119.0,776.0,468.0,,348,0.40154383957352796,0.9279588058881068
AB107DR,AB10 7DR,AB,0.31926121372031663,36.5,6.8,80.0,7.5,24.1,60.7,,4.4,8.9,1.0,20.0,1.0,3.5,18.0,,,4.0,8.0,7.0,6.0,,6.0,89.0,466.0,70.0,,257,0.5306115022935907,0.9279588058881068
AB107DS,AB10 7DS,AB,0.47229551451187335,33.2,3.2,64.2,7.3,10.3,48.0,,10.0,8.6,0.4,20.0,0.9,1.1,13.0,,,4.0,12.0,7.0,26.0,,26.0,76.0,13.0,305.0,,220,2.1941502662410652,0.9279588058881068
AB107DT,AB10 7DT,AB,0.07915567282321898,21.2,5.2,59.4,7.5,14.2,47.3,,1.2,5.2,0.8,20.0,1.1,2.2,13.9,,,4.0,7.0,5.0,5.0,,5.0,329.0,197.0,393.0,,311,-2.0794234549343438,0.9279588058881068
AB107DU,AB10 7DU,AB,0.06992084432717677,21.2,3.8,40.0,7.1,14.2,38.7,,1.2,5.0,1.0,10.0,1.1,2.2,10.0,,,4.0,4.0,5.0,4.0,,4.0,158.0,197.0,208.0,,180,-2.1798094148277256,0.9279588058881068
AB107DX,AB10 7DX,AB,0.16226912928759896,22.3,4.6,40.0,6.5,16.5,40.0,,9.8,6.0,0.4,10.0,0.7,10.0,9.9,,,4.0,4.0,5.0,4.0,,4.0,11.0,167.0,137.0,,87,-1.1759498158939046,0.9279588058881068
AB107DY,AB10 7DY,AB,0.4591029023746702,29.5,0.6,69.0,5.3,16.5,48.9,,7.7,7.8,0.6,20.0,0.9,10.0,13.3,,,4.0,4.0,5.0,10.0,,10.0,146.0,167.0,445.0,,312,2.0507417521076623,0.9279588058881068
AB107DZ,AB10 7DZ,AB,0.029023746701846972,19.9,1.1,76.8,5.3,16.5,49.1,,0.9,5.2,0.7,20.0,0.9,10.0,13.9,,,4.0,6.0,5.0,4.0,,4.0,27.0,167.0,241.0,,98,-2.6243758086412745,0.9279588058881068
AB107EA,AB10 7EA,AB,0.11477572559366755,27.8,5.7,80.0,7.3,12.3,52.0,,1.1,6.5,0.4,20.0,0.9,1.0,13.6,,,4.0,10.0,4.0,11.0,,11.0,243.0,480.0,273.0,,294,-1.6922204667741554,0.9279588058881068
AB107EB,AB10 7EB,AB,0.36675461741424803,25.7,3.7,59.8,6.6,12.3,42.0,,8.7,7.3,0.5,20.0,0.9,1.0,12.7,,,4.0,4.0,4.0,7.0,,7.0,146.0,480.0,345.0,,253,1.0468821531738415,0.9279588058881068
AB107ED,AB10 7ED,AB,0.2678100263852243,22.0,0.7,35.2,3.4,24.1,34.9,,5.3,4.7,0.4,7.6,0.8,5.3,7.4,,,4.0,4.0,8.0,7.0,,7.0,80.0,301.0,509.0,,298,-0.028681702826680998,0.9279588058881068
AB107EE,AB10 7EE,AB,0.07915567282321898,21.3,2.9,40.0,6.4,10.2,40.0,,1.1,4.8,0.8,10.0,1.0,1.1,10.0,,,4.0,4.0,8.0,7.0,,7.0,87.0,79.0,274.0,,166,-2.0794234549343438,0.9279588058881068
AB107EF,AB10 7EF,AB,0.07651715039577836,28.4,0.6,78.7,7.7,11.2,59.0,,1.1,6.6,0.4,20.0,0.9,1.1,15.0,,,4.0,10.0,8.0,8.0,,8.0,165.0,143.0,242.0,,196,-2.1081051577610244,0.9279588058881068
AB107EG,AB10 7EG,AB,0.21108179419525064,19.9,3.1,37.6,4.9,20.2,34.6,,6.6,4.9,0.8,8.9,2.3,4.5,7.7,,,4.0,10.0,8.0,4.0,,4.0,199.0,2039.0,814.0,,813,-0.645338313600314,0.9279588058881068
AB107EH,AB10 7EH,AB,0.3733509234828496,26.0,4.1,35.5,4.2,30.0,34.0,,5.8,5.4,0.8,10.0,0.9,7.7,6.8,,,4.0,10.0,8.0,5.0,,5.0,521.0,312.0,613.0,,552,1.1185864102405427,0.9279588058881068
AB107EJ,AB10 7EJ,AB,0.47229551451187335,34.5,6.1,46.6,6.1,30.0,41.6,,10.0,8.1,0.8,10.0,0.8,7.7,10.0,,,4.0,10.0,8.0,4.0,,4.0,34.0,312.0,318.0,,261,2.1941502662410652,0.9279588058881068
AB107EL,AB10 7EL,AB,0.011873350923482837,11.9,4.1,40.0,5.0,30.0,36.2,,0.8,2.1,0.8,8.8,0.9,7.7,6.4,,,4.0,10.0,8.0,4.0,,4.0,143.0,312.0,93.0,,132,-2.8108068770146986,0.9279588058881068
AB107EN,AB10 7EN,AB,0.2704485488126649,22.6,2.6,80.0,5.8,25.7,38.5,,5.3,5.2,0.4,16.0,0.9,6.5,8.9,,,5.0,10.0,9.0,14.0,,14.0,207.0,370.0,297.0,,279,-6.034264960659256e-16,0.9279588058881068
AB107EP,AB10 7EP,AB,0.15831134564643798,17.3,4.3,32.4,4.7,27.4,32.4,,1.9,2.7,0.6,6.3,0.7,6.3,3.0,,,5.0,10.0,9.0,14.0,,14.0,109.0,84.0,1291.0,,398,-1.218972370133926,0.9279588058881068
AB107EQ,AB10 7EQ,AB,0.1728232189973615,19.8,3.7,40.0,5.4,27.7,36.9,,1.7,4.0,0.5,9.9,0.8,5.2,8.0,,,5.0,5.0,9.0,5.0,,5.0,202.0,132.0,325.0,,244,-1.0612230045871822,0.9279588058881068
AB107ER,AB10 7ER,AB,0.44195250659630614,33.1,5.4,58.1,6.6,27.7,43.7,,10.0,8.8,0.8,20.0,0.9,5.2,11.9,,,5.0,4.0,9.0,10.0,,10.0,55.0,132.0,466.0,,349,1.864310683734239,0.9279588058881068
AB107ES,AB10 7ES,AB,0.03430079155672823,12.4,1.7,30.8,5.0,25.3,30.8,,1.0,2.0,0.5,7.1,0.9,2.6,7.1,,,5.0,4.0,9.0,10.0,,10.0,38.0,215.0,1230.0,,210,-2.5670124029879138,0.9279588058881068
AB107ET,AB10 7ET,AB,0.43931398416886547,27.2,5.1,44.1,6.1,25.3,39.8,,6.0,6.5,0.8,17.4,0.9,2.6,9.9,,,5.0,4.0,9.0,5.0,,5.0,149.0,215.0,1304.0,,871,1.8356289809075579,0.9279588058881068
AB107EU,AB10 7EU,AB,0.0554089709762533,20.0,1.7,54.5,5.5,25.3,45.3,,1.0,4.5,0.4,14.2,0.8,2.6,11.0,,,5.0,4.0,9.0,4.0,,4.0,221.0,215.0,269.0,,238,-2.3375587803744686,0.9279588058881068
AB107EW,AB10 7EW,AB,0.03430079155672823,10.4,3.2,24.7,5.6,24.7,45.3,,1.1,2.2,0.9,5.7,1.0,5.7,11.0,,,5.0,4.0,9.0,4.0,,4.0,293.0,84.0,269.0,,241,-2.5670124029879138,0.9279588058881068
AB107EX,AB10 7EX,AB,0.41160949868073876,27.8,4.1,52.8,6.3,24.7,40.6,,8.6,6.7,0.8,14.1,0.9,5.7,10.2,,,5.0,4.0,9.0,5.0,,5.0,72.0,84.0,127.0,,106,1.534471101227411,0.9279588058881068
AB107EY,AB10 7EY,AB,0.08047493403693931,23.4,2.0,54.8,7.1,17.0,43.7,,1.2,5.0,0.6,13.9,1.0,2.9,10.2,,,5.0,11.0,9.0,11.0,,11.0,164.0,147.0,348.0,,243,-2.0650826035210033,0.9279588058881068
AB107EZ,AB10 7EZ,AB,0.22559366754617416,23.7,0.5,69.8,5.3,17.7,48.0,,1.1,4.9,0.5,20.0,0.8,1.8,12.1,,,5.0,11.0,9.0,11.0,,11.0,133.0,122.0,146.0,,134,-0.48758894805357034,0.9279588058881068
AB107FA,AB10 7FA,AB,0.08970976253298152,24.5,7.2,65.3,8.1,10.9,48.1,,1.1,5.2,0.8,20.0,1.0,1.1,12.0,,,5.0,11.0,5.0,5.0,,5.0,7.0,126.0,48.0,,68,-1.9646966436276212,0.9279588058881068
AB107FD,AB10 7FD,AB,0.47097625329815307,39.6,8.5,80.0,9.2,16.0,61.2,,10.0,8.5,0.3,20.0,0.8,1.1,15.0,,,5.0,11.0,9.0,14.0,,14.0,65.0,220.0,214.0,,204,2.179809414827725,0.9279588058881068
AB107FE,AB10 7FE,AB,0.47229551451187335,42.7,10.2,80.0,9.2,16.3,62.8,,10.0,9.3,0.8,20.0,0.8,1.1,15.6,,,5.0,11.0,13.0,17.0,,17.0,65.0,216.0,294.0,,260,2.1941502662410652,0.9279588058881068
AB107FF,AB10 7FF,AB,0.07255936675461741,27.3,4.8,68.8,7.0,16.3,50.5,,1.2,5.8,0.4,20.0,0.9,1.1,11.4,,,5.0,7.0,13.0,7.0,,7.0,70.0,216.0,266.0,,162,-2.151127712001045,0.9279588058881068
AB107FG,AB10 7FG,AB,0.0395778364116095,16.6,3.8,75.2,6.6,17.3,54.0,,1.1,3.8,0.7,20.0,1.0,1.2,14.7,,,5.0,12.0,13.0,4.0,,4.0,142.0,296.0,228.0,,167,-2.5096489973345526,0.9279588058881068
AB107FH,AB10 7FH,AB,0.04089709762532981,20.0,4.1,55.0,5.8,24.3,38.9,,1.1,4.1,0.4,10.0,0.8,6.5,8.1,,,5.0,14.0,13.0,12.0,,12.0,212.0,127.0,384.0,,268,-2.495308145921212,0.9279588058881068
AB107FJ,AB10 7FJ,AB,0.25725593667546176,27.7,5.1,72.0,7.4,16.4,44.8,,1.7,5.7,0.8,20.0,1.1,2.2,10.6,,,5.0,14.0,13.0,11.0,,11.0,65.0,136.0,475.0,,274,-0.1434085141334032,0.9279588058881068
AB107FL,AB10 7FL,AB,0.1411609498680739,21.4,2.5,79.9,6.0,15.3,47.6,,1.2,4.6,0.2,20.0,0.6,1.8,15.0,,,5.0,14.0,12.0,4.0,,4.0,76.0,198.0,243.0,,194,-1.4054034385073493,0.9279588058881068
AB107FN,AB10 7FN,AB,0.31398416886543534,31.0,13.3,68.5,6.0,14.8,47.1,,5.6,6.8,1.0,20.0,0.6,1.1,12.5,,,5.0,14.0,4.0,4.0,,4.0,76.0,167.0,161.0,,164,0.47324809664022927,0.9279588058881068
AB107FP,AB10 7FP,AB,0.12269129287598945,24.3,0.8,80.0,6.4,13.3,55.5,,1.1,5.5,0.4,20.0,0.9,0.9,15.3,,,5.0,7.0,8.0,8.0,,8.0,139.0,217.0,139.0,,158,-1.6061753582941136,0.9279588058881068
AB107FQ,AB10 7FQ,AB,0.48944591029023743,41.5,7.0,79.4,8.0,13.2,62.6,,10.0,10.3,0.8,20.0,1.1,1.2,16.5,,,5.0,5.0,8.0,12.0,,12.0,141.0,86.0,307.0,,237,2.3805813346144884,0.9279588058881068
AB107FR,AB10 7FR,AB,0.47229551451187335,40.7,10.4,73.3,8.0,10.4,48.3,,10.0,10.2,1.0,20.0,1.1,1.0,12.5,,,5.0,5.0,8.0,4.0,,4.0,141.0,515.0,197.0,,260,2.1941502662410652,0.9279588058881068
AB107FS,AB10 7FS,AB,0.16490765171503957,23.0,1.0,74.0,4.3,27.0,45.4,,1.6,5.5,0.2,19.0,0.8,8.2,10.7,,,6.0,5.0,8.0,8.0,,8.0,9.0,19.0,64.0,,32,-1.1472681130672242,0.9279588058881068
AB107FT,AB10 7FT,AB,0.0026385224274406358,4.4,3.4,5.5,4.4,27.0,45.4,,1.1,1.1,1.0,1.1,1.1,8.2,10.7,,,6.0,5.0,8.0,8.0,,8.0,14.0,19.0,64.0,,14,-2.911192836908081,0.9279588058881068
AB107FW,AB10 7FW,AB,0.21635883905013192,28.4,2.8,80.0,2.8,18.6,47.5,,1.2,4.9,0.4,20.0,0.5,1.3,11.2,,,6.0,5.0,13.0,8.0,,8.0,3.0,125.0,296.0,,182,-0.5879749079469526,0.9279588058881068
AB107FX,AB10 7FX,AB,0.20844327176781002,19.5,11.6,26.5,2.8,19.5,47.5,,1.1,3.3,1.0,10.0,0.5,3.3,11.2,,,6.0,5.0,4.0,8.0,,8.0,3.0,158.0,296.0,,158,-0.6740200164269944,0.9279588058881068
AB107FZ,AB10 7FZ,AB,0.9828496042216359,54.6,5.2,80.0,5.2,19.5,79.3,,20.0,13.5,0.6,20.0,0.6,3.3,20.0,,,6.0,5.0,4.0,8.0,,8.0,37.0,158.0,13.0,,21,7.744059763203761,0.9279588058881068
AB107GA,AB10 7GA,AB,0.0,5.0,2.9,9.1,5.0,19.5,79.3,,0.8,0.7,0.4,0.8,0.7,3.3,20.0,,,5.0,4.0,4.0,8.0,,8.0,102.0,158.0,13.0,,102,-2.9398745397347614,0.9279588058881068
AB107GB,AB10 7GB,AB,0.07519788918205805,25.0,4.1,79.9,7.5,11.5,52.6,,1.1,5.9,0.4,20.0,0.9,1.1,14.1,,,5.0,22.0,5.0,17.0,,17.0,213.0,420.0,214.0,,233,-2.1224460091743644,0.9279588058881068
AB107GD,AB10 7GD,AB,0.04485488126649076,20.3,3.9,76.2,6.7,29.8,53.5,,1.0,4.5,0.8,20.0,0.9,4.4,14.0,,,5.0,11.0,5.0,5.0,,5.0,286.0,201.0,186.0,,258,-2.4522855916811914,0.9279588058881068
AB107GF,AB10 7GF,AB,0.133245382585752,16.1,2.1,26.1,6.6,17.2,53.5,,1.2,1.8,0.3,5.0,1.0,1.9,14.0,,,5.0,4.0,44.0,5.0,,5.0,194.0,325.0,186.0,,311,-1.491448546987391,0.9279588058881068
AB107GG,AB10 7GG,AB,0.23614775725593667,20.4,14.1,25.0,6.6,20.4,53.5,,2.0,2.3,1.0,3.9,1.0,2.3,14.0,,,5.0,4.0,6.0,5.0,,5.0,194.0,588.0,186.0,,588,-0.37286213674684815,0.9279588058881068
AB107GH,AB10 7GH,AB,0.1345646437994723,13.9,5.3,22.2,5.3,16.1,53.5,,2.9,2.9,1.0,4.6,1.0,3.3,14.0,,,5.0,4.0,4.0,5.0,,5.0,37.0,565.0,186.0,,459,-1.477107695574051,0.9279588058881068
AB107GL,AB10 7GL,AB,0.08970976253298152,21.1,4.4,69.5,6.9,13.5,43.7,,1.1,5.3,0.5,20.0,1.0,4.2,11.2,,,5.0,7.0,7.0,8.0,,8.0,102.0,192.0,394.0,,231,-1.9646966436276212,0.9279588058881068
AB107GR,AB10 7GR,AB,0.4089709762532982,31.3,3.7,80.0,6.0,13.5,42.7,,8.7,7.4,0.6,20.0,0.8,4.2,10.4,,,5.0,7.0,7.0,20.0,,20.0,177.0,192.0,460.0,,369,1.5057893984007313,0.9279588058881068
AB107GS,AB10 7GS,AB,0.09234828496042216,24.5,2.1,76.5,7.0,11.5,50.5,,1.2,5.8,0.8,20.0,1.0,1.1,13.9,,,5.0,8.0,8.0,10.0,,10.0,201.0,229.0,232.0,,222,-1.9360149408009406,0.9279588058881068
AB107GT,AB10 7GT,AB,0.0712401055408971,15.3,2.8,40.0,7.5,12.8,40.0,,1.1,3.1,0.8,10.0,1.1,1.1,10.0,,,5.0,5.0,8.0,10.0,,10.0,388.0,91.0,882.0,,465,-2.165468563414385,0.9279588058881068
AB107GU,AB10 7GU,AB,0.10817941952506596,22.4,7.6,74.1,8.3,12.1,48.5,,1.1,4.6,0.8,20.0,1.0,1.0,12.5,,,5.0,5.0,6.0,4.0,,4.0,384.0,205.0,41.0,,196,-1.763924723840857,0.9279588058881068
AB107GW,AB10 7GW,AB,0.10422163588390501,23.4,4.1,70.8,7.4,13.8,48.1,,1.1,5.2,0.5,20.0,0.8,2.2,12.6,,,5.0,5.0,8.0,7.0,,7.0,25.0,16.0,195.0,,79,-1.806947278080878,0.9279588058881068
AB107GX,AB10 7GX,AB,0.47229551451187335,42.4,6.6,73.9,6.6,14.5,57.8,,10.0,10.6,0.8,20.0,1.1,1.6,15.5,,,5.0,5.0,7.0,15.0,,15.0,34.0,184.0,205.0,,191,2.1941502662410652,0.9279588058881068
